city_id;_id;street;postcode;unit
ObjectId('5273115511289210444c9240');ObjectId('52731e501128920fb05ea8a0');404 White Birch Avenue;N2V2T3;0
ObjectId('5273115511289210444c9240');ObjectId('52731e5d1128920fb05ea8a1');140 McGovern Road;N3H4R7;9
ObjectId('5273115511289210444c9240');ObjectId('52731e6e1128920fb05ea8a2');109 Moccasin Drive;N2L4C2;0
ObjectId('5273115511289210444c9240');ObjectId('52731e6e1128920fb05ea8a3');1426 Victoria Street West;N2B3E2;0
ObjectId('5273115511289210444c9240');ObjectId('52731e6e1128920fb05ea8a4');100 Frobisher Dr;N2V2A1;4
ObjectId('5273115511289210444c9240');ObjectId('52731e6e1128920fb05ea8a5');1601 VICTORIA ST. N;N2B3E6;12
ObjectId('5273115511289210444c9240');ObjectId('52731e6e1128920fb05ea8a6');4169 King Street East;N2P2E8;0
ObjectId('5273115511289210444c9240');ObjectId('52731e6e1128920fb05ea8a7');901 Victoria St. N;N2B3C3;0
ObjectId('5273115511289210444c92f6');ObjectId('52731e6e1128920fb05ea8a8');1536 Foxcreek Rd;N6G0C9;0
